entry_time,signal_cutoff,exit_time,holding_days,symbol,category,eligible_count,ivol60,ivol90,ivol120,alpha90,beta90,tvol90,max28,mom90,log_volume30,entry_price,exit_price,target_asset_return,target_market_return,target_excess_return
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,RUNEUSDT,DeFi,24,0.02728863715821186,0.0313057634561106,0.03212649759226255,-0.001343719145717306,1.4790309626942886,0.07527898704720719,0.08611291825054512,-0.38729250752851907,18.332055530479796,1.912,1.57,-0.17887029288702927,-0.023486567113241097,-0.15538372577378817
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,SNXUSDT,DeFi,24,0.04734736938002147,0.06758554732125745,0.061764564702503,0.0034915361187615643,1.3684537865001571,0.0927644759537825,0.15506447092126363,0.042238038107428544,18.217772941154433,2.954,2.378,-0.19498984427894384,-0.023486567113241097,-0.17150327716570274
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,SOLUSDT,Layer-1,24,0.018919478984430704,0.025583868709403466,0.02647501655605943,-0.000433403228404772,1.0895024651580145,0.057282993283398816,0.06406523601561132,-0.24209221557810023,20.634183776789744,31.47,33.22,0.05560851604702899,-0.023486567113241097,0.07909508316027009
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,TRXUSDT,Layer-1,24,0.013078204170461209,0.027632430897118834,0.037408673494911567,-0.001930676346646973,0.44231637191086437,0.03493848659848752,0.031763979371418394,-0.25594335183704153,17.840249526284715,0.06332,0.06096,-0.03727100442198361,-0.023486567113241097,-0.013784437308742514
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,UNIUSDT,DeFi,24,0.03321449854014371,0.03428688181702581,0.03263080353851794,0.004719351738602091,1.1730549791017217,0.0647958124453944,0.09983428705094655,0.1843326509227483,18.2408889519734,6.135,6.465,0.05378973105134466,-0.023486567113241097,0.07727629816458575
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,VETUSDT,Layer-1,24,0.01561974167723883,0.016194553645271267,0.01714588842966381,-0.0008107252941741492,0.8121088597148549,0.04190953087538377,0.0808070583948437,-0.2249496432590643,17.413767120741227,0.02419,0.02304,-0.047540305911533576,-0.023486567113241097,-0.02405373879829248
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,XLMUSDT,Layer-2,24,0.014272090482039888,0.018132024141165964,0.01891578928556868,-0.0018470761240692325,0.6822218570669972,0.03734618682332624,0.049097832812733166,-0.29192649887499544,17.224309496530935,0.10425,0.11461,0.09937649880095933,-0.023486567113241097,0.12286306591420043
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,XMRUSDT,PoW,24,0.026067057867429994,0.030892739691084855,0.03472061336167152,-0.0017185550688278112,0.7250966567484769,0.046406782745444644,0.05881337144704624,-0.28837077192888216,17.746432955628325,149.16,147.2,-0.01314025207830527,-0.023486567113241097,0.010346315034935827
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,XRPUSDT,Payment,24,0.014177926733219479,0.01651569576153034,0.016566003685759483,-0.0008543276607735459,0.6374459790447868,0.03474151878219028,0.03795217636072945,-0.19696177167728024,19.416796143526394,0.3273,0.4797,0.4656278643446381,-0.023486567113241097,0.4891144314578792
2022-09-01 00:00:00+00:00,2022-08-30 00:00:00+00:00,2022-10-01 00:00:00+00:00,30,ZECUSDT,PoW,24,0.02630616025167792,0.028173727373241808,0.03271711350811136,-0.0026101036474820895,0.9240716377565777,0.05205220444081062,0.09626584477445377,-0.40078282530624953,17.73704876002189,59.77,55.63,-0.06926551781830348,-0.023486567113241097,-0.04577895070506238
