method,block_weeks,eligible_weeks,effect,critical_mean,mean_gate_power,mean_gate_wilson_low,mean_gate_wilson_high,joint_power,joint_wilson_low,joint_wilson_high,draws
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,312,0.0075,0.00621229957968,0.64148,0.635514029989,0.647402497524,0.63128,0.625279756865,0.637239904796,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,312,0.01,0.00621229957968,0.87312,0.86893676156,0.877188590047,0.86928,0.865044619396,0.873401912126,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,416,0,0.00536949085836,0.0394,0.0370583545575,0.0418831737701,0.03688,0.0346140274446,0.0392882752022,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,416,0.0025,0.00536949085836,0.16372,0.159184978408,0.168358350176,0.15636,0.151910686116,0.160914903972,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,416,0.005,0.00536949085836,0.43984,0.433696785189,0.446001700144,0.42864,0.422516922284,0.434785004467,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,416,0.0075,0.00536949085836,0.76076,0.755431859408,0.766008016999,0.75284,0.747454321981,0.758147988001,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,416,0.01,0.00536949085836,0.95124,0.948500324831,0.953841022884,0.94904,0.946244290634,0.951697733073,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,520,0,0.00489480706183,0.03524,0.033024835029,0.0375979715397,0.033,0.0308563950707,0.0352870997817,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,520,0.0025,0.00489480706183,0.17644,0.171764567624,0.181214852493,0.16964,0.165038452643,0.174343056906,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,520,0.005,0.00489480706183,0.49508,0.488883581687,0.501277930079,0.48536,0.479167431784,0.491557066642,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,520,0.0075,0.00489480706183,0.83644,0.831803427984,0.840973194269,0.83136,0.826667726753,0.835950456428,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,4,520,0.01,0.00489480706183,0.97984,0.978022642892,0.981509916916,0.9788,0.976939425938,0.980513453429,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,26,0,0.0153121384063,0.0992,0.0955558387904,0.102967314822,0.07324,0.0700756432167,0.0765354871114,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,26,0.0025,0.0153121384063,0.12292,0.118907696529,0.127048168651,0.09232,0.0887940329057,0.0959712347205,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,26,0.005,0.0153121384063,0.15012,0.145746088129,0.154601419321,0.1182,0.114256583314,0.122260732177,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,26,0.0075,0.0153121384063,0.20328,0.198337166137,0.208314006866,0.16772,0.163139799333,0.172402300174,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,26,0.01,0.0153121384063,0.29112,0.285521238624,0.296782943827,0.24752,0.242209344175,0.252908235226,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,52,0,0.0122209388882,0.06344,0.060485024592,0.066529116977,0.0576,0.0547793251152,0.0605566109076,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,52,0.0025,0.0122209388882,0.10764,0.103858300332,0.111542259926,0.09652,0.0929211976529,0.100242779441,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,52,0.005,0.0122209388882,0.16584,0.161280913449,0.170501763724,0.148,0.143652301215,0.152455857646,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,52,0.0075,0.0122209388882,0.2586,0.253209642647,0.264064532209,0.2328,0.227602588655,0.238079513753,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,52,0.01,0.0122209388882,0.35932,0.353394463647,0.365288763025,0.333,0.327184028355,0.33886728565,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,78,0,0.0104945411569,0.04896,0.046353761081,0.0517048297503,0.04492,0.0424216178582,0.0475582143418,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,78,0.0025,0.0104945411569,0.09812,0.0944940158434,0.10186946962,0.09136,0.0878509923306,0.0949945702742,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,78,0.005,0.0104945411569,0.18004,0.175326506697,0.18485180725,0.16728,0.162704722013,0.171957512692,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,78,0.0075,0.0104945411569,0.29808,0.292441304026,0.30378073983,0.27948,0.273951621058,0.28507613801,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,78,0.01,0.0104945411569,0.44692,0.440765696893,0.453090612972,0.4306,0.424473167662,0.43674815684,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,104,0,0.00913992552694,0.04764,0.0450684180306,0.0503505783964,0.04216,0.0397385319266,0.0447221483372,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,104,0.0025,0.00913992552694,0.10392,0.100197960193,0.107763743107,0.09608,0.0924887263377,0.0997953859551,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,104,0.005,0.00913992552694,0.20956,0.204559747242,0.214649496109,0.19716,0.192274925458,0.202138128035,25000
REFERENCE_DISTRIBUTION_APPROXIMATION_NOT_GATE_EQUIVALENT,8,104,0.0075,0.00913992552694,0.36172,0.355785454766,0.367697034459,0.34492,0.339051935643,0.35083571571,25000
