trade_id,week_id,entry_time,exit_time,decision_time,symbol,formation_days,formation_return,market_formation_return,formation_gap,leg_weight,entry_price,exit_price,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_short_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-20220221-ADAUSDT-7-1,development-20220221,2022-02-21T00:00:00Z,2022-02-28T00:00:00Z,2022-02-20T00:00:00Z,ADAUSDT,7,-0.10628900624099868,-0.07288505794551213,-0.033403948295486555,0.25,0.9308,0.8561,0.26858616244091105,21,-0.0007077188636965782,-0.0011191199125540527,0.020063386334336047,0.019775424366136635,-1.734723475976807e-17,0.019067705502440056,0.019295499790502824,1.3877787807814457e-17,0.018587780926806245,0.01881557521486893,2.0816681711721685e-17,0.017696455302314878
development-20220228-DOGEUSDT-7-1,development-20220228,2022-02-28T00:00:00Z,2022-03-07T00:00:00Z,2022-02-27T00:00:00Z,DOGEUSDT,7,-0.100812650999341,-0.05434355270534882,-0.046469098293992185,0.25,0.12283,0.12055,2.0353333876088904,20,0.000267776480857486,5.5979691961349047e-05,0.00464056012374825,0.004343344459822485,-1.474514954580286e-17,0.00461112094067997,0.0038479878042823323,-1.474514954580286e-17,0.004115764285139818,0.0033526311487421523,-1.474514954580286e-17,0.0034086108407035015
development-20220307-ADAUSDT-7-1,development-20220307,2022-03-07T00:00:00Z,2022-03-14T00:00:00Z,2022-03-06T00:00:00Z,ADAUSDT,7,-0.03948598130841119,-0.0029910809346705793,-0.03649490037374061,0.25,0.8222,0.7864,0.304062271953296,21,-0.0002444906704520189,-0.000506485251128679,0.01088542933592801,0.010591960593529542,-2.6020852139652106e-17,0.010347469923077524,0.010102852554123104,-6.938893903907228e-18,0.009858361883671085,0.00961374451471661,-1.0408340855860843e-17,0.00910725926358793
development-20220314-DOGEUSDT-7-1,development-20220314,2022-03-14T00:00:00Z,2022-03-21T00:00:00Z,2022-03-13T00:00:00Z,DOGEUSDT,7,-0.07648278722521784,-0.023137947902681755,-0.053344839322536086,0.25,0.11133,0.11913,2.245576214856732,21,0.0004088799029776341,0.0001721292166273691,-0.01751549447588252,-0.017826003772568072,-2.7755575615628914e-17,-0.017417123869590437,-0.018343529776340628,-4.5102810375396984e-17,-0.017934649873362993,-0.018861055780113184,3.469446951953614e-18,-0.018688926563485815
development-20220321-XRPUSDT-7-1,development-20220321,2022-03-21T00:00:00Z,2022-03-28T00:00:00Z,2022-03-20T00:00:00Z,XRPUSDT,7,0.05975256646485927,0.09322146103743441,-0.03346889457257514,0.25,0.8053,0.8578,0.3104433130510369,21,0.0005425551036880666,0.0002712775518440333,-0.016298273935179408,-0.016608052899540565,-2.0816681711721685e-17,-0.0160654977958525,-0.017124360952440076,-2.0816681711721685e-17,-0.01658180584875201,-0.017640669005339643,-3.469446951953614e-18,-0.01736939145349561
development-20220328-XRPUSDT-7-1,development-20220328,2022-03-28T00:00:00Z,2022-04-04T00:00:00Z,2022-03-27T00:00:00Z,XRPUSDT,7,0.06532538499751617,0.16932205806902997,-0.1039966730715138,0.25,0.8578,0.8432,0.29144322685940777,21,0.0005183854088948472,0.0002591927044474236,0.004255071112147374,0.003957624154814626,-3.2959746043559335e-17,0.004476009563709474,0.0034618817789694722,-1.474514954580286e-17,0.00398026718786432,0.0029661394031242627,-2.0383000842727483e-17,0.0032253321075716864
development-20220404-XRPUSDT-7-1,development-20220404,2022-04-04T00:00:00Z,2022-04-11T00:00:00Z,2022-04-03T00:00:00Z,XRPUSDT,7,-0.017136861739333265,0.017417394397845915,-0.034554256137179176,0.25,0.8432,0.7538,0.29648956356736245,22,0.0004781934836604305,0.00023501126981883004,0.026506166982922186,0.026222070683111914,-1.734723475976807e-17,0.026700264166772344,0.02574859275379507,1.0408340855860843e-17,0.026226786237455498,0.02527511482447814,-1.0408340855860843e-17,0.02551012609429697
development-20220411-ADAUSDT-7-1,development-20220411,2022-04-11T00:00:00Z,2022-04-18T00:00:00Z,2022-04-10T00:00:00Z,ADAUSDT,7,-0.1350531107738998,-0.08091445196428455,-0.054138658809615256,0.25,1.0261,0.9138,0.24364097066562712,20,-0.000117152252932146,-0.000293410073433888,0.027360881005749932,0.027077297534353395,3.469446951953614e-18,0.02696014528142125,0.026604674831887748,-2.7755575615628914e-17,0.0264875225789556,0.026132052129422073,0.0,0.025838642055988185
development-20220418-ADAUSDT-7-1,development-20220418,2022-04-18T00:00:00Z,2022-04-25T00:00:00Z,2022-04-17T00:00:00Z,ADAUSDT,7,-0.10925925925925928,-0.05449007680482439,-0.054769182454434885,0.25,0.9138,0.8851,0.27358284088421975,21,0.00015845770724067084,-8.532867434697138e-05,0.007851827533377098,0.007556538629897108,-1.1275702593849246e-17,0.0077149963371377795,0.0070643951685270545,-9.540979117872439e-18,0.007222852875767726,0.00657225170715689,2.6020852139652106e-18,0.006486923032809918
development-20220425-XRPUSDT-7-1,development-20220425,2022-04-25T00:00:00Z,2022-05-02T00:00:00Z,2022-04-24T00:00:00Z,XRPUSDT,7,-0.0714475784992018,-0.03383882301076611,-0.037608755488435695,0.25,0.6979,0.6066,0.35821750967187277,21,0.00020027669488988396,1.680746796679325e-05,0.03270525863304197,0.03242488178822178,-6.938893903907228e-18,0.03262515848311166,0.03195760667001002,-1.3877787807814457e-17,0.0321578833648999,0.03149033155179823,-6.938893903907228e-18,0.03150713901976502
