trade_id,symbol,signal_time,entry_time,exit_time,direction,entry_price,exit_price,funding_rate_sum,funding_events,funding_return,return_z,volume_shock,quote_volume,favorable_price_cost_return,favorable_net_return,base_price_cost_return,base_net_return,stress_price_cost_return,stress_net_return
COMPUSDT-20220908--1,COMPUSDT,2022-09-07T00:00:00+00:00,2022-09-08T00:00:00+00:00,2022-09-09T00:00:00+00:00,-1,48.67,48.48,-0.00013803,3,-0.00013803,1.72218016453,-0.982703929578,25331706.4206,0.00270456177085,0.00256653177085,0.000710375268751,0.000572345268751,-0.00128780759908,-0.00142583759908
COMPUSDT-20221020-+1,COMPUSDT,2022-10-19T00:00:00+00:00,2022-10-20T00:00:00+00:00,2022-10-21T00:00:00+00:00,1,49.93,49.1,-0.00018842,2,0.00018842,-1.77072220349,-0.0590116382691,46515006.9106,-0.0178026170478,-0.0176141970478,-0.0197650493814,-0.0195766293814,-0.0217235646844,-0.0215351446844
COMPUSDT-20221027--1,COMPUSDT,2022-10-26T00:00:00+00:00,2022-10-27T00:00:00+00:00,2022-10-28T00:00:00+00:00,-1,52.59,50.51,-0.00010972,3,-0.00010972,1.79700676241,-0.48724001879,27728008.0924,0.0383519650522,0.0382422450522,0.0364291447228,0.0363194247228,0.0345024710461,0.0343927510461
COMPUSDT-20221102-+1,COMPUSDT,2022-11-01T00:00:00+00:00,2022-11-02T00:00:00+00:00,2022-11-03T00:00:00+00:00,1,48.42,46.51,-0.0003075,2,0.0003075,-1.52001663547,-0.287280084456,26083635.1913,-0.0405984827113,-0.0402909827113,-0.0425153688597,-0.0422078688597,-0.0444284288881,-0.0441209288881
COMPUSDT-20221107-+1,COMPUSDT,2022-11-06T00:00:00+00:00,2022-11-07T00:00:00+00:00,2022-11-08T00:00:00+00:00,1,48.4,50.15,0.0001284,3,-0.0001284,-2.33763015898,-1.07207971119,18792231.344,0.0349143819493,0.0347859819493,0.0328466209464,0.0327182209464,0.030782987211,0.030654587211
COMPUSDT-20221221--1,COMPUSDT,2022-12-20T00:00:00+00:00,2022-12-21T00:00:00+00:00,2022-12-22T00:00:00+00:00,-1,33.58,33.18,0.00025468,3,0.00025468,1.88093677001,-0.878640262742,12954106.1202,0.0107125718613,0.0109672518613,0.00873441741143,0.00898909741143,0.00675229872419,0.00700697872419
THETAUSDT-20210425-+1,THETAUSDT,2021-04-24T00:00:00+00:00,2021-04-25T00:00:00+00:00,2021-04-26T00:00:00+00:00,1,8.6613,9.1598,0.0002,2,-0.0002,-1.98702604485,-1.2431493186,180072037.724,0.0562865656543,0.0560865656543,0.0541761029856,0.0539761029856,0.0520698528173,0.0518698528173
THETAUSDT-20210427--1,THETAUSDT,2021-04-26T00:00:00+00:00,2021-04-27T00:00:00+00:00,2021-04-28T00:00:00+00:00,-1,10.7706,11.2814,0.00044867,2,0.00044867,2.83948870757,-0.107043653069,296516733.87,-0.0486246792025,-0.0481760092025,-0.0507216269478,-0.0502729569478,-0.0528227769931,-0.0523741069931
THETAUSDT-20210513-+1,THETAUSDT,2021-05-12T00:00:00+00:00,2021-05-13T00:00:00+00:00,2021-05-14T00:00:00+00:00,1,9.16,9.779,0.00037684,3,-0.00037684,-2.04749693045,-0.199689911437,260288476.674,0.066296095705,0.065919255705,0.0641656339753,0.0637887939753,0.0620394246643,0.0616625846643
THETAUSDT-20210717-+1,THETAUSDT,2021-07-16T00:00:00+00:00,2021-07-17T00:00:00+00:00,2021-07-18T00:00:00+00:00,1,4.413,4.437,0.0003,3,-0.0003,-1.55509319171,-0.903232751725,127453466.884,0.00423267453532,0.00393267453532,0.00222621564514,0.00192621564514,0.000223761662923,-7.62383370767e-05
THETAUSDT-20210721-+1,THETAUSDT,2021-07-20T00:00:00+00:00,2021-07-21T00:00:00+00:00,2021-07-22T00:00:00+00:00,1,3.652,4.415,-0.00023594,3,0.00023594,-1.67121944127,-0.0404875381636,172982847.914,0.20747677352,0.20771271352,0.205064232514,0.205300172514,0.202656506959,0.202892446959
THETAUSDT-20210827-+1,THETAUSDT,2021-08-26T00:00:00+00:00,2021-08-27T00:00:00+00:00,2021-08-28T00:00:00+00:00,1,6.523,6.958,0.0003,3,-0.0003,-1.77969839615,-1.00881444942,184591436.125,0.0654078501849,0.0651078501849,0.0632791631715,0.0629791631715,0.0611547250344,0.0608547250344
THETAUSDT-20210921-+1,THETAUSDT,2021-09-20T00:00:00+00:00,2021-09-21T00:00:00+00:00,2021-09-22T00:00:00+00:00,1,5.157,5.014,0.0003,3,-0.0003,-2.19407654985,-0.212224430366,207063808.458,-0.0288953252055,-0.0291953252055,-0.030835594286,-0.031135594286,-0.0327719905739,-0.0330719905739
THETAUSDT-20211210-+1,THETAUSDT,2021-12-09T00:00:00+00:00,2021-12-10T00:00:00+00:00,2021-12-11T00:00:00+00:00,1,4.399,4.261,8.87e-06,2,-8.87e-06,-1.72114513371,-0.929520527348,102483837.526,-0.032532424169,-0.032541294169,-0.0344654263186,-0.0344742963186,-0.0363945701804,-0.0364034401804
